id,category_l,category_s,length,fit
0,,,,
1,,,,타이트
2,,,,노멀
3,,,,루즈
4,,,,오버사이즈
5,,,크롭,
6,,,크롭,타이트
7,,,크롭,노멀
8,,,크롭,루즈
9,,,크롭,오버사이즈
10,,,노멀,
11,,,노멀,타이트
12,,,노멀,노멀
13,,,노멀,루즈
14,,,노멀,오버사이즈
15,,,롱,
16,,,롱,타이트
17,,,롱,노멀
18,,,롱,루즈
19,,,롱,오버사이즈
20,,탑,,
21,,탑,,타이트
22,,탑,,노멀
23,,탑,,루즈
24,,탑,,오버사이즈
25,,탑,크롭,
26,,탑,크롭,타이트
27,,탑,크롭,노멀
28,,탑,크롭,루즈
29,,탑,크롭,오버사이즈
30,,탑,노멀,
31,,탑,노멀,타이트
32,,탑,노멀,노멀
33,,탑,노멀,루즈
34,,탑,노멀,오버사이즈
35,,탑,롱,
36,,탑,롱,타이트
37,,탑,롱,노멀
38,,탑,롱,루즈
39,,탑,롱,오버사이즈
40,,블라우스,,
41,,블라우스,,타이트
42,,블라우스,,노멀
43,,블라우스,,루즈
44,,블라우스,,오버사이즈
45,,블라우스,크롭,
46,,블라우스,크롭,타이트
47,,블라우스,크롭,노멀
48,,블라우스,크롭,루즈
49,,블라우스,크롭,오버사이즈
50,,블라우스,노멀,
51,,블라우스,노멀,타이트
52,,블라우스,노멀,노멀
53,,블라우스,노멀,루즈
54,,블라우스,노멀,오버사이즈
55,,블라우스,롱,
56,,블라우스,롱,타이트
57,,블라우스,롱,노멀
58,,블라우스,롱,루즈
59,,블라우스,롱,오버사이즈
60,,티셔츠,,
61,,티셔츠,,타이트
62,,티셔츠,,노멀
63,,티셔츠,,루즈
64,,티셔츠,,오버사이즈
65,,티셔츠,크롭,
66,,티셔츠,크롭,타이트
67,,티셔츠,크롭,노멀
68,,티셔츠,크롭,루즈
69,,티셔츠,크롭,오버사이즈
70,,티셔츠,노멀,
71,,티셔츠,노멀,타이트
72,,티셔츠,노멀,노멀
73,,티셔츠,노멀,루즈
74,,티셔츠,노멀,오버사이즈
75,,티셔츠,롱,
76,,티셔츠,롱,타이트
77,,티셔츠,롱,노멀
78,,티셔츠,롱,루즈
79,,티셔츠,롱,오버사이즈
80,,니트웨어,,
81,,니트웨어,,타이트
82,,니트웨어,,노멀
83,,니트웨어,,루즈
84,,니트웨어,,오버사이즈
85,,니트웨어,크롭,
86,,니트웨어,크롭,타이트
87,,니트웨어,크롭,노멀
88,,니트웨어,크롭,루즈
89,,니트웨어,크롭,오버사이즈
90,,니트웨어,노멀,
91,,니트웨어,노멀,타이트
92,,니트웨어,노멀,노멀
93,,니트웨어,노멀,루즈
