id,category_l,category_s,length,fit
0,상의,탑,크롭,타이트
1,상의,탑,크롭,노멀
2,상의,탑,크롭,루즈
3,상의,탑,크롭,오버사이즈
4,상의,탑,노멀,타이트
5,상의,탑,노멀,노멀
6,상의,탑,노멀,루즈
7,상의,탑,노멀,오버사이즈
8,상의,탑,롱,타이트
9,상의,탑,롱,노멀
10,상의,탑,롱,루즈
11,상의,탑,롱,오버사이즈
12,상의,블라우스,크롭,타이트
13,상의,블라우스,크롭,노멀
14,상의,블라우스,크롭,루즈
15,상의,블라우스,크롭,오버사이즈
16,상의,블라우스,노멀,타이트
17,상의,블라우스,노멀,노멀
18,상의,블라우스,노멀,루즈
19,상의,블라우스,노멀,오버사이즈
20,상의,블라우스,롱,타이트
21,상의,블라우스,롱,노멀
22,상의,블라우스,롱,루즈
23,상의,블라우스,롱,오버사이즈
24,상의,티셔츠,크롭,타이트
25,상의,티셔츠,크롭,노멀
26,상의,티셔츠,크롭,루즈
27,상의,티셔츠,크롭,오버사이즈
28,상의,티셔츠,노멀,타이트
29,상의,티셔츠,노멀,노멀
30,상의,티셔츠,노멀,루즈
31,상의,티셔츠,노멀,오버사이즈
32,상의,티셔츠,롱,타이트
33,상의,티셔츠,롱,노멀
34,상의,티셔츠,롱,루즈
35,상의,티셔츠,롱,오버사이즈
36,상의,니트웨어,크롭,타이트
37,상의,니트웨어,크롭,노멀
38,상의,니트웨어,크롭,루즈
39,상의,니트웨어,크롭,오버사이즈
40,상의,니트웨어,노멀,타이트
41,상의,니트웨어,노멀,노멀
42,상의,니트웨어,노멀,루즈
43,상의,니트웨어,노멀,오버사이즈
44,상의,니트웨어,롱,타이트
45,상의,니트웨어,롱,노멀
46,상의,니트웨어,롱,루즈
47,상의,니트웨어,롱,오버사이즈
48,상의,셔츠,크롭,타이트
49,상의,셔츠,크롭,노멀
50,상의,셔츠,크롭,루즈
51,상의,셔츠,크롭,오버사이즈
52,상의,셔츠,노멀,타이트
53,상의,셔츠,노멀,노멀
54,상의,셔츠,노멀,루즈
55,상의,셔츠,노멀,오버사이즈
56,상의,셔츠,롱,타이트
57,상의,셔츠,롱,노멀
58,상의,셔츠,롱,루즈
59,상의,셔츠,롱,오버사이즈
60,상의,브라탑,크롭,타이트
61,상의,브라탑,크롭,노멀
62,상의,브라탑,크롭,루즈
63,상의,브라탑,크롭,오버사이즈
64,상의,브라탑,노멀,타이트
65,상의,브라탑,노멀,노멀
66,상의,브라탑,노멀,루즈
67,상의,브라탑,노멀,오버사이즈
68,상의,브라탑,롱,타이트
69,상의,브라탑,롱,노멀
70,상의,브라탑,롱,루즈
71,상의,브라탑,롱,오버사이즈
72,상의,후드티,크롭,타이트
73,상의,후드티,크롭,노멀
74,상의,후드티,크롭,루즈
75,상의,후드티,크롭,오버사이즈
76,상의,후드티,노멀,타이트
77,상의,후드티,노멀,노멀
78,상의,후드티,노멀,루즈
79,상의,후드티,노멀,오버사이즈
80,상의,후드티,롱,타이트
81,상의,후드티,롱,노멀
82,상의,후드티,롱,루즈
83,상의,후드티,롱,오버사이즈
84,하의,청바지,미니,스키니
85,하의,청바지,미니,노멀
86,하의,청바지,미니,와이드
87,하의,청바지,미니,루즈
88,하의,청바지,미니,벨보텀
89,하의,청바지,니렝스,스키니
90,하의,청바지,니렝스,노멀
91,하의,청바지,니렝스,와이드
92,하의,청바지,니렝스,루즈
93,하의,청바지,니렝스,벨보텀
94,하의,청바지,미디,스키니
95,하의,청바지,미디,노멀
96,하의,청바지,미디,와이드
97,하의,청바지,미디,루즈
98,하의,청바지,미디,벨보텀
99,하의,청바지,발목,스키니
100,하의,청바지,발목,노멀
101,하의,청바지,발목,와이드
102,하의,청바지,발목,루즈
103,하의,청바지,발목,벨보텀
104,하의,청바지,맥시,스키니
105,하의,청바지,맥시,노멀
106,하의,청바지,맥시,와이드
107,하의,청바지,맥시,루즈
108,하의,청바지,맥시,벨보텀
109,하의,팬츠,미니,스키니
110,하의,팬츠,미니,노멀
111,하의,팬츠,미니,와이드
112,하의,팬츠,미니,루즈
113,하의,팬츠,미니,벨보텀
114,하의,팬츠,니렝스,스키니
115,하의,팬츠,니렝스,노멀
116,하의,팬츠,니렝스,와이드
117,하의,팬츠,니렝스,루즈
118,하의,팬츠,니렝스,벨보텀
119,하의,팬츠,미디,스키니
120,하의,팬츠,미디,노멀
121,하의,팬츠,미디,와이드
122,하의,팬츠,미디,루즈
123,하의,팬츠,미디,벨보텀
124,하의,팬츠,발목,스키니
125,하의,팬츠,발목,노멀
126,하의,팬츠,발목,와이드
127,하의,팬츠,발목,루즈
128,하의,팬츠,발목,벨보텀
129,하의,팬츠,맥시,스키니
130,하의,팬츠,맥시,노멀
131,하의,팬츠,맥시,와이드
132,하의,팬츠,맥시,루즈
133,하의,팬츠,맥시,벨보텀
134,하의,스커트,미니,스키니
135,하의,스커트,미니,노멀
136,하의,스커트,미니,와이드
137,하의,스커트,미니,루즈
138,하의,스커트,미니,벨보텀
139,하의,스커트,니렝스,스키니
140,하의,스커트,니렝스,노멀
141,하의,스커트,니렝스,와이드
142,하의,스커트,니렝스,루즈
143,하의,스커트,니렝스,벨보텀
144,하의,스커트,미디,스키니
145,하의,스커트,미디,노멀
146,하의,스커트,미디,와이드
147,하의,스커트,미디,루즈
148,하의,스커트,미디,벨보텀
149,하의,스커트,발목,스키니
150,하의,스커트,발목,노멀
151,하의,스커트,발목,와이드
152,하의,스커트,발목,루즈
153,하의,스커트,발목,벨보텀
154,하의,스커트,맥시,스키니
155,하의,스커트,맥시,노멀
156,하의,스커트,맥시,와이드
157,하의,스커트,맥시,루즈
158,하의,스커트,맥시,벨보텀
159,하의,레깅스,미니,스키니
160,하의,레깅스,미니,노멀
161,하의,레깅스,미니,와이드
162,하의,레깅스,미니,루즈
163,하의,레깅스,미니,벨보텀
164,하의,레깅스,니렝스,스키니
165,하의,레깅스,니렝스,노멀
166,하의,레깅스,니렝스,와이드
167,하의,레깅스,니렝스,루즈
168,하의,레깅스,니렝스,벨보텀
169,하의,레깅스,미디,스키니
170,하의,레깅스,미디,노멀
171,하의,레깅스,미디,와이드
172,하의,레깅스,미디,루즈
173,하의,레깅스,미디,벨보텀
174,하의,레깅스,발목,스키니
175,하의,레깅스,발목,노멀
176,하의,레깅스,발목,와이드
177,하의,레깅스,발목,루즈
178,하의,레깅스,발목,벨보텀
179,하의,레깅스,맥시,스키니
180,하의,레깅스,맥시,노멀
181,하의,레깅스,맥시,와이드
182,하의,레깅스,맥시,루즈
183,하의,레깅스,맥시,벨보텀
184,하의,조거팬츠,미니,스키니
185,하의,조거팬츠,미니,노멀
186,하의,조거팬츠,미니,와이드
187,하의,조거팬츠,미니,루즈
188,하의,조거팬츠,미니,벨보텀
189,하의,조거팬츠,니렝스,스키니
190,하의,조거팬츠,니렝스,노멀
191,하의,조거팬츠,니렝스,와이드
192,하의,조거팬츠,니렝스,루즈
193,하의,조거팬츠,니렝스,벨보텀
194,하의,조거팬츠,미디,스키니
195,하의,조거팬츠,미디,노멀
196,하의,조거팬츠,미디,와이드
197,하의,조거팬츠,미디,루즈
198,하의,조거팬츠,미디,벨보텀
199,하의,조거팬츠,발목,스키니
200,하의,조거팬츠,발목,노멀
201,하의,조거팬츠,발목,와이드
202,하의,조거팬츠,발목,루즈
203,하의,조거팬츠,발목,벨보텀
204,하의,조거팬츠,맥시,스키니
205,하의,조거팬츠,맥시,노멀
206,하의,조거팬츠,맥시,와이드
207,하의,조거팬츠,맥시,루즈
208,하의,조거팬츠,맥시,벨보텀
209,아우터,코트,크롭,타이트
210,아우터,코트,크롭,노멀
211,아우터,코트,크롭,루즈
212,아우터,코트,크롭,오버사이즈
213,아우터,코트,노멀,타이트
214,아우터,코트,노멀,노멀
215,아우터,코트,노멀,루즈
216,아우터,코트,노멀,오버사이즈
217,아우터,코트,하프,타이트
218,아우터,코트,하프,노멀
219,아우터,코트,하프,루즈
220,아우터,코트,하프,오버사이즈
221,아우터,코트,롱,타이트
222,아우터,코트,롱,노멀
223,아우터,코트,롱,루즈
224,아우터,코트,롱,오버사이즈
225,아우터,코트,맥시,타이트
226,아우터,코트,맥시,노멀
227,아우터,코트,맥시,루즈
228,아우터,코트,맥시,오버사이즈
229,아우터,재킷,크롭,타이트
230,아우터,재킷,크롭,노멀
231,아우터,재킷,크롭,루즈
232,아우터,재킷,크롭,오버사이즈
233,아우터,재킷,노멀,타이트
234,아우터,재킷,노멀,노멀
235,아우터,재킷,노멀,루즈
236,아우터,재킷,노멀,오버사이즈
237,아우터,재킷,하프,타이트
238,아우터,재킷,하프,노멀
239,아우터,재킷,하프,루즈
240,아우터,재킷,하프,오버사이즈
241,아우터,재킷,롱,타이트
242,아우터,재킷,롱,노멀
243,아우터,재킷,롱,루즈
244,아우터,재킷,롱,오버사이즈
245,아우터,재킷,맥시,타이트
246,아우터,재킷,맥시,노멀
247,아우터,재킷,맥시,루즈
248,아우터,재킷,맥시,오버사이즈
249,아우터,점퍼,크롭,타이트
250,아우터,점퍼,크롭,노멀
251,아우터,점퍼,크롭,루즈
252,아우터,점퍼,크롭,오버사이즈
253,아우터,점퍼,노멀,타이트
254,아우터,점퍼,노멀,노멀
255,아우터,점퍼,노멀,루즈
256,아우터,점퍼,노멀,오버사이즈
257,아우터,점퍼,하프,타이트
258,아우터,점퍼,하프,노멀
259,아우터,점퍼,하프,루즈
260,아우터,점퍼,하프,오버사이즈
261,아우터,점퍼,롱,타이트
262,아우터,점퍼,롱,노멀
263,아우터,점퍼,롱,루즈
264,아우터,점퍼,롱,오버사이즈
265,아우터,점퍼,맥시,타이트
266,아우터,점퍼,맥시,노멀
267,아우터,점퍼,맥시,루즈
268,아우터,점퍼,맥시,오버사이즈
269,아우터,패딩,크롭,타이트
270,아우터,패딩,크롭,노멀
271,아우터,패딩,크롭,루즈
272,아우터,패딩,크롭,오버사이즈
273,아우터,패딩,노멀,타이트
274,아우터,패딩,노멀,노멀
275,아우터,패딩,노멀,루즈
276,아우터,패딩,노멀,오버사이즈
277,아우터,패딩,하프,타이트
278,아우터,패딩,하프,노멀
279,아우터,패딩,하프,루즈
280,아우터,패딩,하프,오버사이즈
281,아우터,패딩,롱,타이트
282,아우터,패딩,롱,노멀
283,아우터,패딩,롱,루즈
284,아우터,패딩,롱,오버사이즈
285,아우터,패딩,맥시,타이트
286,아우터,패딩,맥시,노멀
287,아우터,패딩,맥시,루즈
288,아우터,패딩,맥시,오버사이즈
289,아우터,베스트,크롭,타이트
290,아우터,베스트,크롭,노멀
291,아우터,베스트,크롭,루즈
292,아우터,베스트,크롭,오버사이즈
293,아우터,베스트,노멀,타이트
294,아우터,베스트,노멀,노멀
295,아우터,베스트,노멀,루즈
296,아우터,베스트,노멀,오버사이즈
297,아우터,베스트,하프,타이트
298,아우터,베스트,하프,노멀
299,아우터,베스트,하프,루즈
300,아우터,베스트,하프,오버사이즈
301,아우터,베스트,롱,타이트
302,아우터,베스트,롱,노멀
303,아우터,베스트,롱,루즈
304,아우터,베스트,롱,오버사이즈
305,아우터,베스트,맥시,타이트
306,아우터,베스트,맥시,노멀
307,아우터,베스트,맥시,루즈
308,아우터,베스트,맥시,오버사이즈
309,아우터,가디건,크롭,타이트
310,아우터,가디건,크롭,노멀
311,아우터,가디건,크롭,루즈
312,아우터,가디건,크롭,오버사이즈
313,아우터,가디건,노멀,타이트
314,아우터,가디건,노멀,노멀
315,아우터,가디건,노멀,루즈
316,아우터,가디건,노멀,오버사이즈
317,아우터,가디건,하프,타이트
318,아우터,가디건,하프,노멀
319,아우터,가디건,하프,루즈
320,아우터,가디건,하프,오버사이즈
321,아우터,가디건,롱,타이트
322,아우터,가디건,롱,노멀
323,아우터,가디건,롱,루즈
324,아우터,가디건,롱,오버사이즈
325,아우터,가디건,맥시,타이트
326,아우터,가디건,맥시,노멀
327,아우터,가디건,맥시,루즈
328,아우터,가디건,맥시,오버사이즈
329,아우터,집업,크롭,타이트
330,아우터,집업,크롭,노멀
331,아우터,집업,크롭,루즈
332,아우터,집업,크롭,오버사이즈
333,아우터,집업,노멀,타이트
334,아우터,집업,노멀,노멀
335,아우터,집업,노멀,루즈
336,아우터,집업,노멀,오버사이즈
337,아우터,집업,하프,타이트
338,아우터,집업,하프,노멀
339,아우터,집업,하프,루즈
340,아우터,집업,하프,오버사이즈
341,아우터,집업,롱,타이트
